Ex_ID,Name,Muscle_Group,Sub_Group,Equipment,Difficulty,Type,Sets,Reps,Tempo,Rest_sec,PR_Load,Video_Link,Tags
EX164,Deficit Reverse Lunge,Legs,Overall,Dumbbell,Intermediate,Plyometric,4,15-20,2-1-1,90,,https://azfit.com/ex/EX164,"legs, overall, dumbbell, intermediate"
EX165,Lateral Lunge,Legs,Overall,Dumbbell,Beginner,Compound,3,8,2-0-2,45,,https://azfit.com/ex/EX165,"legs, overall, dumbbell, beginner"
EX166,Slider Curl,Legs,Adductors,Cable,Advanced,Compound,5,12,1-0-1,120,,https://azfit.com/ex/EX166,"legs, adductors, cable, advanced"
EX167,Banded Leg Curl,Legs,Quads,Resistance Band,Intermediate,Plyometric,5,6-8,2-1-1,180,,https://azfit.com/ex/EX167,"legs, quads, resistance band, intermediate"
EX168,Nordic Hamstring,Legs,Adductors,Kettlebell,Beginner,Isolation,3,10,3-1-2,60,,https://azfit.com/ex/EX168,"legs, adductors, kettlebell, beginner"
EX169,45-Degree Hyper,Legs,Adductors,Kettlebell,Beginner,Functional,5,12-15,4-0-1,180,,https://azfit.com/ex/EX169,"legs, adductors, kettlebell, beginner"
EX170,Reverse Hyper,Legs,Quads,Bodyweight,Beginner,Isolation,4,15-20,2-1-1,120,,https://azfit.com/ex/EX170,"legs, quads, bodyweight, beginner"
EX171,Bradford Press,Shoulders,Front,Cable,Beginner,Plyometric,3,10-12,2-0-2,60,,https://azfit.com/ex/EX171,"shoulders, front, cable, beginner"
EX172,Viking Press,Shoulders,Side,Resistance Band,Intermediate,Plyometric,4,10-12,2-1-1,120,,https://azfit.com/ex/EX172,"shoulders, side, resistance band, intermediate"
EX173,Z Press,Shoulders,Rear,Dumbbell,Beginner,Isolation,3,6-8,2-0-2,120,,https://azfit.com/ex/EX173,"shoulders, rear, dumbbell, beginner"
EX174,Landmine Lateral Raise,Shoulders,Overall,Resistance Band,Intermediate,Plyometric,4,15-20,3-1-2,180,,https://azfit.com/ex/EX174,"shoulders, overall, resistance band, intermediate"
EX175,Cable Lateral Raise,Shoulders,Front,Kettlebell,Intermediate,Compound,4,10,1-0-1,45,,https://azfit.com/ex/EX175,"shoulders, front, kettlebell, intermediate"
EX176,Machine Lateral Raise,Shoulders,Rear,Barbell,Beginner,Plyometric,5,6-8,2-0-2,90,,https://azfit.com/ex/EX176,"shoulders, rear, barbell, beginner"
EX177,Rear Delt Row,Shoulders,Rear,Machine,Beginner,Functional,4,5,2-0-2,60,,https://azfit.com/ex/EX177,"shoulders, rear, machine, beginner"
EX178,Trap Raise,Shoulders,Overall,Resistance Band,Beginner,Isolation,4,12,3-1-2,180,,https://azfit.com/ex/EX178,"shoulders, overall, resistance band, beginner"
EX179, scarecrow,Shoulders,Rear,Dumbbell,Intermediate,Compound,4,6-8,4-0-1,60,,https://azfit.com/ex/EX179,"shoulders, rear, dumbbell, intermediate"
EX180,Sphinx Raise,Shoulders,Rear,Resistance Band,Advanced,Plyometric,5,8,2-1-1,60,,https://azfit.com/ex/EX180,"shoulders, rear, resistance band, advanced"
EX181,Bent-Arm Lateral,Shoulders,Overall,Barbell,Intermediate,Isolation,5,10,2-1-1,60,,https://azfit.com/ex/EX181,"shoulders, overall, barbell, intermediate"
EX182,Leaning Lateral,Shoulders,Overall,Dumbbell,Beginner,Plyometric,5,8,1-0-1,60,,https://azfit.com/ex/EX182,"shoulders, overall, dumbbell, beginner"
EX183,Cross-Body Raise,Shoulders,Overall,Bodyweight,Advanced,Functional,3,5,3-1-2,60,,https://azfit.com/ex/EX183,"shoulders, overall, bodyweight, advanced"
EX184,External Rotation,Shoulders,Front,Machine,Intermediate,Functional,5,10-12,3-1-2,60,,https://azfit.com/ex/EX184,"shoulders, front, machine, intermediate"
EX185,Wall Slide,Shoulders,Side,Bodyweight,Beginner,Isolation,5,10-12,2-0-2,90,,https://azfit.com/ex/EX185,"shoulders, side, bodyweight, beginner"
EX186,Drag Curl,Arms,Forearms,Smith Machine,Intermediate,Plyometric,5,5,2-1-1,90,,https://azfit.com/ex/EX186,"arms, forearms, smith machine, intermediate"
EX187,Waiter Curl,Arms,Triceps,Dumbbell,Intermediate,Plyometric,5,15-20,2-1-1,180,,https://azfit.com/ex/EX187,"arms, triceps, dumbbell, intermediate"
EX188,Incline Curl,Arms,Biceps,Kettlebell,Advanced,Compound,4,10,4-0-1,60,,https://azfit.com/ex/EX188,"arms, biceps, kettlebell, advanced"
EX189,Decline Curl,Arms,Biceps,Kettlebell,Intermediate,Compound,5,8-10,1-0-1,180,,https://azfit.com/ex/EX189,"arms, biceps, kettlebell, intermediate"
EX190,Bayesian Curl,Arms,Forearms,Resistance Band,Intermediate,Compound,4,12-15,2-1-1,180,,https://azfit.com/ex/EX190,"arms, forearms, resistance band, intermediate"
EX191,Pinwheel Curl,Arms,Triceps,Cable,Beginner,Plyometric,3,5,2-0-2,180,,https://azfit.com/ex/EX191,"arms, triceps, cable, beginner"
EX192,Cross-Body Hammer,Arms,Forearms,Cable,Beginner,Isolation,5,10,4-0-1,180,,https://azfit.com/ex/EX192,"arms, forearms, cable, beginner"
EX193,Rope Pushdown,Arms,Forearms,Cable,Intermediate,Functional,4,8,4-0-1,120,,https://azfit.com/ex/EX193,"arms, forearms, cable, intermediate"
EX194,V-Bar Pushdown,Arms,Forearms,Barbell,Advanced,Functional,3,5,2-0-2,180,,https://azfit.com/ex/EX194,"arms, forearms, barbell, advanced"
EX195,Band Pushdown,Arms,Forearms,Resistance Band,Intermediate,Functional,5,10-12,2-1-1,60,,https://azfit.com/ex/EX195,"arms, forearms, resistance band, intermediate"
EX196,Kickback,Arms,Forearms,Cable,Intermediate,Functional,5,8,3-1-2,180,,https://azfit.com/ex/EX196,"arms, forearms, cable, intermediate"
EX197, Tate Press,Arms,Forearms,Dumbbell,Intermediate,Plyometric,5,5,3-1-2,45,,https://azfit.com/ex/EX197,"arms, forearms, dumbbell, intermediate"
EX198,Floor Extension,Arms,Forearms,Dumbbell,Advanced,Plyometric,5,5,2-0-2,120,,https://azfit.com/ex/EX198,"arms, forearms, dumbbell, advanced"
EX199,Pin Extension,Arms,Triceps,Cable,Beginner,Functional,4,12-15,3-1-2,90,,https://azfit.com/ex/EX199,"arms, triceps, cable, beginner"
EX200,Rack Extension,Arms,Biceps,Dumbbell,Intermediate,Compound,5,12,1-0-1,60,,https://azfit.com/ex/EX200,"arms, biceps, dumbbell, intermediate"
EX201,Reverse Curl,Arms,Forearms,Kettlebell,Advanced,Isolation,5,8,3-1-2,90,,https://azfit.com/ex/EX201,"arms, forearms, kettlebell, advanced"
EX202,Pinch Curl,Arms,Biceps,Cable,Advanced,Plyometric,3,8,2-1-1,45,,https://azfit.com/ex/EX202,"arms, biceps, cable, advanced"
EX203,Suitcase Curl,Arms,Forearms,Machine,Intermediate,Functional,5,10,3-1-2,180,,https://azfit.com/ex/EX203,"arms, forearms, machine, intermediate"
EX204,Towel Curl,Arms,Biceps,Bodyweight,Intermediate,Isolation,4,10,4-0-1,120,,https://azfit.com/ex/EX204,"arms, biceps, bodyweight, intermediate"
EX205,Fat Grip Curl,Arms,Triceps,Resistance Band,Beginner,Isolation,5,10-12,2-1-1,60,,https://azfit.com/ex/EX205,"arms, triceps, resistance band, beginner"
EX206,Stir the Pot,Core,Overall,Kettlebell,Advanced,Compound,5,12,2-0-2,120,,https://azfit.com/ex/EX206,"core, overall, kettlebell, advanced"
EX207,Body Saw,Core,Upper Abs,Cable,Intermediate,Plyometric,5,10-12,4-0-1,60,,https://azfit.com/ex/EX207,"core, upper abs, cable, intermediate"
EX208,Ab Vacuum,Core,Lower Abs,Smith Machine,Intermediate,Compound,4,6-8,4-0-1,180,,https://azfit.com/ex/EX208,"core, lower abs, smith machine, intermediate"
EX209,L-Sit,Core,Obliques,Machine,Intermediate,Compound,4,12-15,2-0-2,120,,https://azfit.com/ex/EX209,"core, obliques, machine, intermediate"
EX210,Toes to Bar,Core,Upper Abs,Kettlebell,Beginner,Isolation,3,15-20,4-0-1,45,,https://azfit.com/ex/EX210,"core, upper abs, kettlebell, beginner"
EX211, windshield Wiper,Core,Lower Abs,Smith Machine,Intermediate,Compound,3,6-8,2-1-1,90,,https://azfit.com/ex/EX211,"core, lower abs, smith machine, intermediate"
EX212,Copenhagen Plank,Core,Lower Abs,Resistance Band,Beginner,Functional,3,15-20,2-0-2,60,,https://azfit.com/ex/EX212,"core, lower abs, resistance band, beginner"
EX213,Bench Press Plank,Core,Lower Abs,Resistance Band,Advanced,Plyometric,3,8-10,4-0-1,180,,https://azfit.com/ex/EX213,"core, lower abs, resistance band, advanced"
EX214,TRX Fallout,Core,Upper Abs,Machine,Advanced,Isolation,4,8,2-0-2,180,,https://azfit.com/ex/EX214,"core, upper abs, machine, advanced"
EX215,Suspension Pike,Core,Obliques,Machine,Advanced,Plyometric,3,8-10,1-0-1,120,,https://azfit.com/ex/EX215,"core, obliques, machine, advanced"
EX216,Medicine Ball Slam,Core,Upper Abs,Barbell,Intermediate,Plyometric,3,8,2-1-1,120,,https://azfit.com/ex/EX216,"core, upper abs, barbell, intermediate"
EX217,Kneeling Pallof,Core,Upper Abs,Kettlebell,Beginner,Functional,3,8-10,1-0-1,45,,https://azfit.com/ex/EX217,"core, upper abs, kettlebell, beginner"
EX218,Half-Kneeling Chop,Core,Obliques,Cable,Beginner,Functional,5,5,3-1-2,45,,https://azfit.com/ex/EX218,"core, obliques, cable, beginner"
EX219,Lateral Medicine Ball Throw,Core,Overall,Smith Machine,Advanced,Isolation,3,8-10,4-0-1,60,,https://azfit.com/ex/EX219,"core, overall, smith machine, advanced"
EX220,Suitcase Carry,Core,Obliques,Machine,Beginner,Isolation,3,5,2-1-1,180,,https://azfit.com/ex/EX220,"core, obliques, machine, beginner"
EX221,Overhead Carry,Core,Overall,Smith Machine,Intermediate,Compound,5,12-15,2-1-1,120,,https://azfit.com/ex/EX221,"core, overall, smith machine, intermediate"
EX222,Bottoms-Up Carry,Core,Upper Abs,Kettlebell,Intermediate,Compound,4,8,4-0-1,45,,https://azfit.com/ex/EX222,"core, upper abs, kettlebell, intermediate"
EX223,Turkish Get-Up,Core,Overall,Resistance Band,Intermediate,Isolation,4,10,2-1-1,180,,https://azfit.com/ex/EX223,"core, overall, resistance band, intermediate"
EX224,Windmill,Core,Obliques,Dumbbell,Advanced,Plyometric,3,8,1-0-1,90,,https://azfit.com/ex/EX224,"core, obliques, dumbbell, advanced"
EX225,Jefferson Curl,Core,Obliques,Kettlebell,Beginner,Compound,4,15-20,2-1-1,150,,https://azfit.com/ex/EX225,"core, obliques, kettlebell, beginner"
EX226,B-Stance RDL,Glutes,Minimus,Resistance Band,Beginner,Plyometric,4,10,2-0-2,45,,https://azfit.com/ex/EX226,"glutes, minimus, resistance band, beginner"
EX227,Deficit Deadlift,Glutes,Medius,Resistance Band,Intermediate,Compound,3,8,2-1-1,180,,https://azfit.com/ex/EX227,"glutes, medius, resistance band, intermediate"
EX228,Snatch Grip Deadlift,Glutes,Minimus,Cable,Beginner,Isolation,5,10,2-0-2,90,,https://azfit.com/ex/EX228,"glutes, minimus, cable, beginner"
EX229,Jefferson Deadlift,Glutes,Maximus,Machine,Advanced,Functional,4,8,1-0-1,60,,https://azfit.com/ex/EX229,"glutes, maximus, machine, advanced"
EX230,Meadows Deficit,Glutes,Minimus,Cable,Advanced,Plyometric,4,5,4-0-1,60,,https://azfit.com/ex/EX230,"glutes, minimus, cable, advanced"
EX231,Good Morning,Glutes,Minimus,Cable,Advanced,Functional,4,5,2-1-1,90,,https://azfit.com/ex/EX231,"glutes, minimus, cable, advanced"
EX232,Seated Good Morning,Glutes,Maximus,Barbell,Advanced,Isolation,4,12,4-0-1,180,,https://azfit.com/ex/EX232,"glutes, maximus, barbell, advanced"
EX233,Banded Good Morning,Glutes,Maximus,Bodyweight,Intermediate,Plyometric,3,15-20,4-0-1,90,,https://azfit.com/ex/EX233,"glutes, maximus, bodyweight, intermediate"
EX234,Chain Deadlift,Glutes,Maximus,Cable,Beginner,Plyometric,3,10,2-0-2,45,,https://azfit.com/ex/EX234,"glutes, maximus, cable, beginner"
EX235,Paused Deadlift,Glutes,Medius,Kettlebell,Advanced,Compound,5,12,2-1-1,120,,https://azfit.com/ex/EX235,"glutes, medius, kettlebell, advanced"
EX236,Stiff-Leg Deadlift,Glutes,Maximus,Cable,Intermediate,Isolation,3,12-15,3-1-2,90,,https://azfit.com/ex/EX236,"glutes, maximus, cable, intermediate"
EX237,Snatch Grip RDL,Glutes,Medius,Barbell,Intermediate,Functional,4,12,3-1-2,180,,https://azfit.com/ex/EX237,"glutes, medius, barbell, intermediate"
EX238,Zercher Good Morning,Glutes,Maximus,Dumbbell,Intermediate,Plyometric,5,10,1-0-1,150,,https://azfit.com/ex/EX238,"glutes, maximus, dumbbell, intermediate"
EX239,Safety Bar Good Morning,Glutes,Medius,Dumbbell,Beginner,Functional,5,8-10,4-0-1,150,,https://azfit.com/ex/EX239,"glutes, medius, dumbbell, beginner"
EX240,Spider Crawl,Glutes,Minimus,Kettlebell,Beginner,Isolation,3,8,1-0-1,60,,https://azfit.com/ex/EX240,"glutes, minimus, kettlebell, beginner"
EX241,Bosu Calf Raise,Calves,Gastrocnemius,Cable,Intermediate,Isolation,3,5,3-1-2,120,,https://azfit.com/ex/EX241,"calves, gastrocnemius, cable, intermediate"
EX242,Eccentric Calf Raise,Calves,Soleus,Dumbbell,Intermediate,Isolation,5,12,2-1-1,90,,https://azfit.com/ex/EX242,"calves, soleus, dumbbell, intermediate"
EX243,Isometric Calf Hold,Calves,Soleus,Dumbbell,Advanced,Isolation,5,10-12,3-1-2,45,,https://azfit.com/ex/EX243,"calves, soleus, dumbbell, advanced"
EX244,Banded Calf Raise,Calves,Soleus,Barbell,Beginner,Compound,3,15-20,3-1-2,180,,https://azfit.com/ex/EX244,"calves, soleus, barbell, beginner"
EX245,Calf Raise Machine,Calves,Soleus,Barbell,Intermediate,Functional,5,15-20,4-0-1,90,,https://azfit.com/ex/EX245,"calves, soleus, barbell, intermediate"
EX246,Inverted Calf Raise,Calves,Soleus,Bodyweight,Intermediate,Compound,5,6-8,3-1-2,150,,https://azfit.com/ex/EX246,"calves, soleus, bodyweight, intermediate"
EX247,Sled Drag,Calves,Soleus,Smith Machine,Intermediate,Isolation,4,10-12,2-1-1,45,,https://azfit.com/ex/EX247,"calves, soleus, smith machine, intermediate"
EX248,Prowler Push,Calves,Soleus,Kettlebell,Intermediate,Isolation,4,12,1-0-1,60,,https://azfit.com/ex/EX248,"calves, soleus, kettlebell, intermediate"
EX249,Hill Sprint,Calves,Soleus,Machine,Intermediate,Compound,4,10,3-1-2,90,,https://azfit.com/ex/EX249,"calves, soleus, machine, intermediate"
EX250,Stair Climb,Calves,Gastrocnemius,Barbell,Intermediate,Plyometric,5,8,3-1-2,90,,https://azfit.com/ex/EX250,"calves, gastrocnemius, barbell, intermediate"
EX251,Double Under,Calves,Soleus,Kettlebell,Beginner,Isolation,4,12,4-0-1,150,,https://azfit.com/ex/EX251,"calves, soleus, kettlebell, beginner"
EX252,Triple Under,Calves,Soleus,Smith Machine,Beginner,Compound,4,12,4-0-1,90,,https://azfit.com/ex/EX252,"calves, soleus, smith machine, beginner"
EX253,Lateral Bound,Calves,Gastrocnemius,Kettlebell,Beginner,Compound,4,10,1-0-1,45,,https://azfit.com/ex/EX253,"calves, gastrocnemius, kettlebell, beginner"
EX254,Calf Press on Leg Press,Calves,Soleus,Bodyweight,Advanced,Compound,3,8,3-1-2,120,,https://azfit.com/ex/EX254,"calves, soleus, bodyweight, advanced"
EX255,Single Leg Press Calf,Calves,Soleus,Resistance Band,Intermediate,Compound,4,6-8,1-0-1,180,,https://azfit.com/ex/EX255,"calves, soleus, resistance band, intermediate"
